date,rawContent,url,replyCount,retweetCount,likeCount,sentiment
2024-04-03T06:12:27+00:00,"@elonmusk @WholeMarsBlog What??? Ahahah Elon please, avoid be fraudulent. The automotive market is going very well in the 🇺🇸. $TSLA had a horrible quarter because the US market refused to buy your cars. BYD has NO presence yet in the 🇺🇸. $HTZ is fire selling used @tesla, because they hate the cars… https://t.co/Zuo00Xetei",https://twitter.com/EdwardDiGi/status/1775405987240853742,28,13,97,
2024-03-26T12:11:29+00:00,1 USD = 1200 naira? If everything goes well I suppose buy Tesla truck next week 🙂 https://t.co/OAQtpaWmZi,https://twitter.com/IamDannyben/status/1772597240114090292,24,23,144,0
2024-03-31T10:45:57+00:00,One of the rich people in our country should get pissed and buy a Tesla Cyber Truck.,https://twitter.com/Ssempijjastanle/status/1774387652470431795,7,3,47,1
2024-04-03T15:07:00+00:00,Hey everyone !  Do you think with @GerberKawasaki in @Tesla board $TSLA Q12024 deliveries would have been better or worse ? @elonmusk https://t.co/ToR8gSwe9W,https://twitter.com/wealthXfreedom/status/1775540509991199050,4,3,9,1
2024-04-04T18:24:59+00:00,"Catcoin (IDO) $CAT is now available on DEX #PancakeSwap 💪
👉 Catcoin (IDO) $CAT ONLY Contract: 0x2321617F5c7F45b6Cf365B2F080bee1e625C6c18 
🥞 BUY ON PANCAKESWAP: #0x2321617F5c7F45b6Cf365B2F080bee1e625C6c18 
#CAT #TESLA #ELON #MUSK #CATS https://t.co/W9ST8ux9oJ",https://twitter.com/MiraJoe374436/status/1775952722669302124,0,0,1,1
2024-04-04T17:27:30+00:00,"If Tesla goes to 0, I could use my earnings to buy out all the Cybertrucks and flip it for insane profits to the cult. You just know they’d be happy to give $TSLAQ money. https://t.co/2QjrioQ18L",https://twitter.com/FudBos/status/1775938255109980452,6,1,6,
2024-03-31T04:13:38+00:00,Go buy Tesla stocks😂 https://t.co/d6VdNeFiKQ,https://twitter.com/FirstCryptator/status/1774288920760480160,0,0,1,0
2024-04-04T07:03:00+00:00,"Overpaying on Amazon? Join 5M+ Karma users and save up to 37%. Shop smarter, save bigger.",https://twitter.com/karma_shopping/status/1775781095575069116,29,138,67,0
2024-04-01T12:32:49+00:00,I have decided to buy a Tesla.,https://twitter.com/HumbertoOG6/status/1774776935802933685,2,3,22,0
2024-04-01T08:56:07+00:00,I have decided to sell my Tesla,https://twitter.com/AC_Induction/status/1774722399856193943,16,2,75,0
